X	mb231e210g_0	mb231e264g_0	mb231e279g_0	mb231p2207g_1	mb231p2237Ag_1
ACTA1	0	0	0	0	0
ACTA2	0	0	0	0	0
ACTB	59	58	82	43	110
ACTBL2	0	0	0	0	0
ACTC1	0	0	0	0	0
ACTG1	201	131	199	87	320
ACTG2	34	19	23	17	43
ACTL10	0	0	0	0	0
ACTL6A	2	9	12	5	12
ACTL6B	0	0	0	0	0
ACTL7A	0	0	0	0	0
ACTL7B	0	0	0	0	0
ACTL9	0	0	0	0	0
ACTN1	202	185	281	139	442
ACTN2	0	0	0	0	0
ACTN3	0	0	0	0	0
ACTN4	145	138	164	83	272
ACTR10	5	10	12	7	25
ACTR1A	15	21	38	16	55
ACTR1B	0	0	0	0	0
ACTR2	22	52	53	32	110
ACTR3	128	157	151	115	265
ACTR3B	0	0	0	0	0
ACTR5	0	0	0	1	0
ACTR6	0	0	1	0	0
ACTR8	1	0	1	1	0
ACTRT1	0	0	0	0	0
ACTRT2	0	0	0	0	0
ACTRT3	0	0	0	0	0
ACVR1	3	0	5	0	5
ACVR1B	1	5	5	3	10
ACVR1C	0	0	0	0	0
ACVR2A	7	13	9	11	37
ACVR2B	2	0	2	5	4
ACVRL1	0	0	0	0	0
ACY1	0	0	0	0	0
ACY3	0	0	0	0	0
ACYP1	0	0	0	0	0
ACYP2	0	0	0	0	0
ADA	0	0	0	0	0
ADAD1	0	0	0	0	0
ADAD2	0	0	0	0	0
ADAL	0	0	0	0	0
ADAM10	102	86	70	65	198
ADAM11	0	0	0	0	0
ADAM12	0	0	0	0	0
ADAM15	0	0	2	0	0
ADAM17	7	7	9	7	37
ADAM18	0	0	0	0	0
ADAM19	0	0	0	0	0
ADAM2	0	0	0	0	0
ADAM20	0	0	0	0	0
ADAM21	0	0	0	0	0
ADAM22	0	0	0	0	0
ADAM23	0	0	0	0	0
ADAM28	0	0	0	0	0
ADAM29	0	0	0	0	0
ADAM30	0	0	0	0	0
ADAM32	0	0	0	0	0
ADAM33	0	0	0	0	0
ADAM7	0	0	0	0	0
ADAM8	0	0	0	0	0
ADAM9	0	0	0	0	1
ADAMDEC1	0	0	0	0	0
ADAMTS1	0	0	0	0	1
ADAMTS10	4	3	5	3	2
ADAMTS12	0	0	0	0	0
ADAMTS13	0	0	0	0	0
ADAMTS14	2	2	1	2	6
ADAMTS15	0	0	0	0	0
ADAMTS16	0	0	0	0	0
ADAMTS17	0	0	0	0	0
ADAMTS18	0	0	0	0	0
ADAMTS19	0	0	0	0	0
ADAMTS2	0	0	0	0	0
ADAMTS20	0	0	0	0	0
ADAMTS3	0	0	0	0	0
ADAMTS4	3	12	10	4	15
ADAMTS5	0	0	0	0	0
ADAMTS6	0	4	4	3	2
ADAMTS7	0	0	0	2	2
ADAMTS8	0	0	0	0	0
ADAMTS9	0	0	0	0	0
ADAMTSL1	0	0	0	0	0
ADAMTSL2	0	0	0	0	0
ADAMTSL3	1	1	3	3	6
ADAMTSL4	4	1	1	0	1
ADAMTSL5	0	0	0	0	0
ADAP1	0	0	0	0	0
ADAP2	0	0	0	0	0
ADAR	1	1	6	4	7
ADARB1	0	1	2	0	1
ADARB2	0	0	0	0	0
ADAT1	0	0	0	0	0
ADAT2	0	0	0	0	0
ADAT3	0	0	0	0	0
ADCK1	0	1	0	0	1
ADCK2	0	0	0	0	0
ADCK5	0	1	1	1	1
ADCY1	0	0	0	0	0
ADCY10	0	0	0	0	0
ADCY2	0	0	0	0	0
ADCY3	3	2	2	1	4
ADCY4	0	0	0	0	0
ADCY5	1	3	0	0	1
ADCY6	5	7	14	10	18
ADCY7	0	0	0	0	0
ADCY8	0	0	0	0	0
ADCY9	1	0	0	0	0
ADCYAP1	0	0	0	0	0
ADCYAP1R1	0	0	0	0	0
ADD1	67	49	43	31	83
ADD2	0	0	0	0	0
ADD3	0	0	1	0	1
ADGB	0	0	0	0	0
ADGRA1	0	0	0	0	0
ADGRA2	0	0	0	0	0
ADGRA3	1	2	0	0	2
ADGRB1	0	0	0	0	0
ADGRB2	0	1	1	0	1
ADGRB3	0	0	0	0	0
ADGRD1	0	0	0	0	0
ADGRE1	0	0	0	0	0
ADGRE5	0	0	0	0	0
ADGRF1	0	0	0	0	0
ADGRF2	0	0	0	0	0
ADGRF3	0	0	0	0	0
ADGRF4	0	0	0	0	0
ADGRF5	0	0	0	0	0
ADGRG1	0	0	0	0	0
ADGRG2	0	0	0	0	0
ADGRG3	0	0	0	0	0
ADGRG4	0	0	0	0	0
ADGRG5	0	0	0	0	0
ADGRG6	0	0	0	0	0
ADGRG7	0	0	0	0	0
ADGRL1	28	15	20	21	49
ADGRL2	0	0	0	0	0
ADGRL3	1	0	0	0	0
ADGRL4	0	0	0	0	0
ADGRV1	0	0	0	0	0
ADH4	0	0	0	0	0
ADH5	2	1	1	0	3
ADH7	0	0	0	0	0
ADHFE1	1	0	0	1	0
ADI1	0	0	0	0	0
ADIG	0	0	0	0	0
ADIPOQ	0	0	0	0	0
ADIPOR1	81	46	41	32	103
ADIPOR2	4	22	21	8	31
ADK	12	12	7	5	24
ADM	0	0	0	0	0
ADM2	0	0	0	0	0
ADNP	10	16	30	8	33
ADNP2	0	0	0	0	0
ADO	4	2	6	4	9
ADORA1	0	0	0	0	0
ADORA2A	0	0	0	0	0
ADORA2B	0	0	0	0	0
ADORA3	0	0	0	0	0
ADPGK	20	19	22	16	42
ADPRH	0	0	0	0	0
ADPRHL1	0	0	0	0	0
ADPRHL2	1	2	1	0	0
ADPRM	0	0	0	0	0
ADRA1A	0	0	0	0	0
ADRA1B	5	2	3	0	0
ADRA1D	0	0	0	0	0
ADRA2A	0	0	0	0	1
ADRA2B	0	0	0	0	0
ADRA2C	0	0	0	0	0
ADRB1	0	0	0	0	0
ADRB2	0	0	0	0	0
ADRB3	0	0	0	0	0
ADRM1	11	8	11	7	23
ADSL	8	9	14	6	18
ADSS	12	8	3	7	30
ADSSL1	21	9	8	6	13
ADTRP	0	0	0	0	0
AEBP1	29	14	15	11	19
AEBP2	18	12	26	17	39
AEN	0	0	0	0	0
AES	0	0	0	0	0
AFAP1	1	7	5	0	5
AFAP1L1	0	0	0	0	0
AFAP1L2	0	0	0	0	0
AFDN	17	20	19	11	32
AFF1	0	0	0	0	0
AFF2	0	0	0	0	0
AFF3	0	0	0	0	0
AFF4	33	44	26	19	80
AFG3L2	0	0	0	0	0
AFM	0	0	0	0	0
AFMID	0	0	0	0	0
AFP	0	0	0	0	0
AFTPH	13	13	9	12	20
AGA	0	0	0	0	0
AGAP1	8	11	15	9	13
AGAP2	0	0	0	0	0
AGAP3	25	22	30	15	47
AGBL1	0	0	0	0	0
AGBL2	0	0	0	0	0
AGBL3	0	0	0	0	0
AGBL4	0	0	0	0	0
AGBL5	9	7	5	9	12
AGER	0	0	0	0	0
AGFG1	39	38	58	25	67
AGFG2	2	5	3	2	3
AGGF1	0	0	0	0	0
AGK	1	1	1	1	3
AGL	0	0	0	0	0
AGMAT	0	0	0	0	0
AGMO	0	0	0	0	0
AGO1	11	17	22	9	32
AGO2	5	9	12	8	18
AGO3	2	6	5	1	14
AGO4	0	0	0	0	0
AGPAT1	0	0	0	0	0
AGPAT2	0	0	0	0	0
AGPAT3	2	0	1	0	0
AGPAT4	1	0	0	0	0
AGPAT5	3	1	5	2	11
AGPS	6	15	14	2	24
AGR2	0	0	0	0	0
AGR3	0	0	0	0	0
AGRN	1	1	2	2	3
AGRP	0	0	0	0	0
AGT	0	0	0	0	0
AGTPBP1	0	1	0	0	0
AGTR2	0	0	0	0	0
AGTRAP	0	0	0	0	0
AGXT	0	0	0	0	0
AGXT2	0	0	0	0	0
AHCTF1	1	0	1	0	2
AHCY	6	11	11	6	31
AHCYL1	104	127	128	87	247
AHCYL2	1	8	3	3	4
AHDC1	10	16	12	11	17
AHI1	0	0	0	0	1
AHNAK	184	242	293	174	590
AHNAK2	0	0	3	0	8
AHR	0	0	0	0	1
AHRR	0	0	0	0	0
AHSA1	36	64	90	39	169
AHSA2	1	3	7	5	7
AHSG	0	0	0	0	0
AICDA	0	0	0	0	0
AIDA	4	8	28	13	28
AIF1	0	0	0	0	0
AIF1L	2	6	3	2	7
AIFM1	7	4	12	5	23
AIFM2	2	4	0	2	7
AIFM3	0	0	0	0	0
AIG1	0	0	0	0	0
AIM1	3	1	1	0	0
AIM1L	0	0	0	0	0
AIM2	0	0	0	0	0
AIMP1	0	0	0	0	0
AIMP2	0	0	0	0	0
AIP	1	8	1	5	9
AIPL1	0	0	0	0	0
AIRE	0	0	0	0	0
AJAP1	0	0	0	0	0
AJUBA	2	4	7	1	5
AK1	0	0	0	0	0
AK2	0	0	0	0	0
AK3	0	0	0	0	0
AK4	0	0	0	0	0
AK5	0	0	0	0	0
AK6	2	8	6	5	24
AK7	0	0	0	0	0
AK8	0	0	0	0	0
AK9	0	0	0	0	0
AKAIN1	0	0	0	0	0
AKAP1	0	6	6	3	7
AKAP10	8	17	13	2	26
AKAP11	0	1	0	2	2
AKAP12	0	0	0	0	0
AKAP13	4	0	2	0	6
AKAP14	0	0	0	0	0
AKAP2	3	6	2	1	4
AKAP3	0	0	0	0	0
AKAP4	0	0	0	0	0
AKAP5	0	0	0	0	0
AKAP6	0	0	0	0	1
AKAP7	0	0	0	0	0
AKAP8	9	12	9	8	17
AKAP8L	72	34	23	33	49
AKAP9	0	0	1	0	0
AKIP1	0	0	0	0	0
AKIRIN1	19	34	33	9	50
AKIRIN2	5	12	15	7	21
AKNA	0	0	0	0	0
AKNAD1	0	0	0	0	0
AKR1A1	0	0	0	0	0
AKR1B10	1	0	0	1	0
AKR1D1	0	0	0	0	0
AKT1	34	35	56	33	123
AKT1S1	0	0	0	0	0
AKT2	23	12	18	8	20
AKT3	23	32	32	25	68
AKTIP	1	3	5	5	4
ALAD	0	0	2	0	0
ALAS1	5	0	1	5	5
ALAS2	0	0	0	0	0
ALB	0	0	0	0	0
ALCAM	5	19	17	7	56
ALDH16A1	1	0	0	1	0
ALDH18A1	0	0	0	0	1
ALDH1A1	0	0	0	0	0
ALDH1A2	0	0	0	0	0
ALDH1A3	0	0	0	0	0
ALDH1B1	0	0	0	0	0
ALDH1L1	0	0	0	0	0
ALDH1L2	0	0	0	0	1
ALDH2	9	5	7	5	11
ALDH3A1	0	0	0	0	0
ALDH3A2	1	0	0	0	0
ALDH3B1	0	0	0	0	0
ALDH3B2	0	0	0	0	0
ALDH4A1	0	0	0	0	0
ALDH5A1	0	0	0	0	0
ALDH6A1	4	1	2	0	2
ALDH7A1	0	0	0	0	0
ALDH8A1	0	0	0	0	0
ALDH9A1	0	0	0	0	0
ALDOA	188	128	172	153	548
ALDOB	0	0	0	0	0
ALDOC	0	0	0	0	0
ALG1	0	0	0	0	1
ALG10B	0	4	1	0	1
ALG11	0	0	0	0	0
ALG12	0	0	0	0	0
ALG13	0	3	1	1	5
ALG14	0	0	0	0	0
ALG2	0	0	0	0	0
ALG3	1	4	12	2	13
ALG5	0	3	3	3	1
ALG6	0	1	0	0	1
ALG8	0	0	1	2	3
ALG9	1	2	3	1	4
ALK	0	0	0	0	0
ALKBH1	1	0	2	0	0
ALKBH2	0	0	0	0	0
ALKBH3	0	0	0	0	0
ALKBH4	0	0	0	0	0
ALKBH5	9	10	12	9	16
ALKBH6	0	0	0	0	0
ALKBH7	0	0	0	0	0
ALKBH8	1	0	0	0	1
ALLC	0	0	0	0	0
ALMS1	0	0	0	0	0
ALOX12	0	0	0	0	0
ALOX12B	0	0	0	0	0
ALOX15	0	0	0	0	0
ALOX5	0	0	0	0	0
ALOX5AP	0	0	0	0	0
ALOXE3	0	0	0	0	0
ALPI	0	0	0	0	0
ALPK1	0	0	0	0	3
ALPK2	0	0	0	0	0
ALPK3	0	0	0	0	0
ALPL	0	0	0	0	0
ALPPL2	0	0	0	0	0
ALS2	1	4	3	3	4
ALS2CL	0	0	0	0	0
ALS2CR11	0	0	0	0	0
ALS2CR12	0	0	1	0	0
ALX1	0	0	0	0	0
ALX3	0	0	0	0	0
ALX4	0	0	0	0	0
ALYREF	0	0	2	1	1
AMACR	0	0	0	0	0
AMBN	0	0	0	0	0
AMBP	0	0	0	0	0
AMBRA1	15	16	31	10	46
AMD1	23	35	92	41	185
AMDHD1	0	0	0	0	0
AMDHD2	0	0	0	0	0
AMELX	0	0	0	0	0
AMER1	0	2	0	0	0
AMER2	0	0	0	0	0
AMER3	0	0	0	0	0
AMFR	11	17	14	10	33
AMH	0	0	0	0	0
AMHR2	0	0	0	0	0
AMIGO1	1	0	0	0	0
AMIGO2	0	0	0	0	0
AMIGO3	0	0	0	0	0
AMMECR1	9	18	22	12	17
AMMECR1L	12	9	25	7	32
AMN	0	0	0	0	0
AMN1	1	1	0	1	0
AMOT	1	2	8	0	10
AMOTL1	2	1	2	0	1
AMOTL2	1	0	0	0	0
AMPD1	0	0	0	0	0
AMPD2	4	18	30	8	41
AMPD3	3	5	14	11	23
AMPH	0	0	0	0	0
AMT	0	0	0	0	0
AMTN	0	0	0	0	0
AMZ1	0	0	0	0	0
AMZ2	6	5	2	0	6
ANAPC1	4	7	2	5	19
ANAPC10	3	3	1	0	0
ANAPC11	0	0	0	0	0
ANAPC13	0	0	0	0	0
ANAPC15	7	6	7	4	26
ANAPC16	0	0	0	0	0
ANAPC2	0	0	0	0	0
ANAPC4	7	3	4	5	14
ANAPC5	122	116	153	88	214
ANAPC7	16	17	14	9	34
ANG	0	0	0	0	0
ANGEL1	1	0	0	0	0
ANGEL2	1	5	7	5	10
ANGPT1	0	0	0	0	0
ANGPT2	0	0	0	0	0
ANGPT4	0	0	0	0	0
ANGPTL1	0	0	0	0	0
ANGPTL2	26	32	42	30	86
ANGPTL3	0	0	0	0	0
ANGPTL4	0	0	0	0	0
ANGPTL6	0	0	0	0	0
ANGPTL7	0	0	0	0	0
ANGPTL8	0	0	0	0	0
ANK1	0	0	4	1	1
ANK2	0	0	0	0	0
ANK3	6	7	4	3	9
ANKAR	0	0	0	0	0
ANKDD1A	0	0	0	0	0
ANKDD1B	0	0	0	0	0
ANKEF1	0	0	0	0	0
ANKFY1	1	1	5	1	9
ANKHD1	12	23	17	23	39
ANKIB1	6	18	11	11	20
ANKK1	0	0	0	0	0
ANKLE1	0	0	0	0	0
ANKLE2	2	5	1	0	6
ANKMY1	0	0	0	0	0
ANKMY2	0	0	1	0	1
ANKRA2	0	0	0	0	0
ANKRD1	1	4	3	0	1
ANKRD10	1	2	5	1	2
ANKRD11	4	6	8	6	5
ANKRD12	0	2	1	2	4
ANKRD13A	0	0	0	0	0
ANKRD13B	8	6	6	3	11
ANKRD13C	5	10	15	1	24
ANKRD13D	0	0	0	0	0
ANKRD16	0	0	0	0	1
ANKRD17	142	194	210	117	344
ANKRD2	0	0	0	0	0
ANKRD22	0	0	0	0	0
ANKRD23	0	0	0	0	1
ANKRD24	0	0	0	0	0
ANKRD26	0	0	0	0	0
ANKRD27	1	0	0	0	0
ANKRD28	36	59	53	51	134
ANKRD29	0	0	0	0	0
ANKRD31	0	0	0	0	0
ANKRD33	0	0	0	0	0
ANKRD33B	0	2	4	0	9
ANKRD34A	2	0	1	3	3
ANKRD34B	0	0	0	0	0
ANKRD34C	0	0	0	0	0
ANKRD35	0	0	0	0	0
ANKRD36	0	0	0	0	0
ANKRD37	0	0	0	0	0
ANKRD39	0	0	0	0	0
ANKRD40	14	8	9	7	25
ANKRD42	0	0	0	0	0
ANKRD44	0	1	2	0	2
ANKRD45	0	0	0	0	0
ANKRD46	2	1	0	1	4
ANKRD49	0	0	0	2	0
ANKRD50	0	0	0	0	0
ANKRD52	48	67	105	53	121
ANKRD53	0	0	0	0	0
ANKRD54	0	0	0	1	1
ANKRD55	0	0	0	0	0
ANKRD6	0	0	0	1	1
ANKRD60	0	0	0	0	0
ANKRD61	0	0	0	0	0
ANKRD63	0	0	0	0	0
ANKRD65	0	0	0	0	0
ANKRD66	0	0	0	0	0
ANKRD7	0	0	0	0	0
ANKRD9	0	1	0	0	1
ANKS1B	0	0	0	0	0
ANKS3	0	0	1	0	3
ANKS4B	0	0	0	0	0
ANKS6	2	1	0	0	0
ANKUB1	0	0	0	0	0
ANKZF1	6	2	1	0	1
ANLN	3	2	6	4	15
ANO1	0	0	0	0	0
ANO10	0	2	4	1	5
ANO2	0	0	0	0	0
ANO3	0	0	0	0	0
ANO4	0	0	0	0	0
ANO5	0	0	0	0	0
ANO6	0	1	2	0	3
ANO7	0	0	0	0	0
ANO8	2	1	2	1	0
ANO9	0	0	0	0	0
ANP32A	17	12	39	11	55
ANP32B	7	10	20	6	18
ANP32E	14	19	25	14	56
ANPEP	0	0	0	0	0
ANTXR1	1	0	0	0	0
ANTXR2	22	23	17	25	47
ANTXRL	0	0	0	0	0
ANXA1	0	0	0	0	0
ANXA10	0	0	0	0	0
ANXA11	16	9	19	12	40
ANXA13	0	0	0	0	0
ANXA2	43	44	47	37	102
ANXA3	0	0	0	0	0
ANXA4	0	0	0	0	0
ANXA5	0	0	0	0	0
ANXA6	11	8	7	5	5
ANXA7	0	0	0	0	0
ANXA8	0	0	0	0	0
ANXA9	0	0	0	0	0
AOAH	0	0	0	0	0
AOC1	0	0	0	0	0
AOC2	1	0	0	0	0
AOC3	0	0	0	0	0
AOX1	5	0	0	2	2
AP1AR	0	0	0	0	0
AP1B1	6	7	11	4	30
AP1G1	17	36	36	21	69
AP1G2	3	4	2	2	12
AP1M1	2	6	8	7	15
AP1M2	0	0	0	0	0
AP1S1	5	9	9	15	24
AP1S2	4	2	6	0	2
AP1S3	0	0	3	0	2
AP2A1	18	18	20	20	52
AP2A2	4	6	5	2	10
AP2B1	42	55	55	23	115
AP2M1	50	37	59	50	115
AP2S1	15	22	21	14	52
AP3B1	5	11	10	5	12
AP3B2	0	0	0	0	0
AP3D1	0	0	2	0	2
AP3M1	9	7	18	8	24
AP3M2	0	0	0	0	0
AP3S1	41	27	23	21	71
AP3S2	4	2	3	2	6
AP4B1	0	0	0	0	0
AP4E1	2	1	1	2	2
AP4M1	0	0	0	0	0
AP4S1	2	2	2	1	3
AP5B1	0	0	0	0	0
AP5M1	2	4	1	5	10
AP5S1	0	0	0	0	0
AP5Z1	0	0	0	0	0
APAF1	0	1	1	1	1
APBA1	0	0	0	0	0
APBA2	0	0	0	0	0
APBA3	0	0	0	0	0
APBB1	16	7	11	3	15
APBB1IP	3	0	1	0	4
APBB2	2	11	14	3	17
APC	2	19	17	7	16
APC2	0	0	0	0	0
APCDD1	0	1	0	0	0
APCS	0	0	0	0	0
APEH	11	9	9	2	18
APELA	0	0	0	0	0
APEX1	0	0	0	0	0
APEX2	1	1	2	0	1
APH1A	78	71	91	59	160
APH1B	0	0	0	2	1
API5	6	5	4	2	15
APIP	0	0	0	0	0
APLF	0	0	0	0	0
APLN	0	0	0	0	0
APLNR	0	0	0	0	0
APLP1	0	0	0	0	0
APLP2	137	91	81	33	153
APMAP	0	0	0	0	0
APOA1	0	0	0	0	0
APOA2	0	0	0	0	0
APOA4	0	0	0	0	0
APOA5	0	0	0	0	0
APOB	0	0	0	0	0
APOBEC1	0	0	0	0	0
APOBEC2	0	0	0	0	0
APOBEC4	0	0	0	0	0
APOBR	0	0	0	0	0
APOC1	0	0	0	0	0
APOC2	0	0	0	0	0
APOC3	0	0	0	0	0
APOC4	0	0	0	0	0
APOD	0	0	0	0	0
APOE	0	0	0	0	0
APOF	0	0	0	0	0
APOH	0	0	0	0	0
APOL6	0	0	0	0	0
APOLD1	0	0	0	0	0
APOM	0	0	0	0	0
APOO	0	0	0	0	0
APOOL	0	0	0	0	0
APOPT1	0	0	0	0	1
APP	69	42	40	19	68
APPBP2	1	7	3	5	11
APPL1	7	2	4	5	12
APPL2	0	0	0	0	0
APRT	0	0	0	0	0
APTX	2	2	1	0	2
AQP1	1	0	0	0	0
AQP11	0	0	0	0	0
AQP2	0	0	0	0	0
AQP3	0	0	0	0	0
AQP4	0	0	0	0	0
AQP5	0	0	0	0	0
AQP6	0	0	0	0	0
AQP7	0	0	0	0	0
AQP8	0	0	0	0	0
AQP9	0	0	0	0	0
AQR	0	1	1	0	0
AR	0	1	1	0	1
ARAF	4	2	5	1	6
ARAP1	1	1	2	0	2
ARAP2	0	3	10	6	6
ARAP3	0	0	1	1	2
ARC	1	0	0	0	0
ARCN1	27	34	48	29	91
AREG	0	0	0	0	0
AREL1	3	6	12	4	20
ARF1	60	49	68	24	149
ARF3	5	2	5	5	18
ARF4	26	36	35	14	88
ARF5	37	31	37	23	84
ARF6	102	91	144	85	273
ARFGAP1	0	0	0	1	0
ARFGAP2	2	2	1	4	7
ARFGAP3	3	1	1	0	7
ARFGEF1	22	35	45	30	64
ARFGEF2	3	6	14	3	10
ARFGEF3	0	0	0	0	0
ARFIP1	6	7	8	3	16
ARFIP2	36	35	44	58	109
ARFRP1	1	0	1	0	0
ARG1	0	0	0	0	0
ARG2	0	0	0	0	0
ARGLU1	39	30	34	28	49
ARHGAP1	2	0	0	0	1
ARHGAP10	6	4	2	5	6
ARHGAP11A	0	1	0	0	0
ARHGAP12	1	5	5	3	5
ARHGAP15	0	0	0	0	0
ARHGAP17	4	6	4	6	7
ARHGAP18	5	0	0	3	4
ARHGAP19	0	0	0	0	0
ARHGAP20	0	0	0	0	0
ARHGAP21	11	5	12	4	12
ARHGAP22	2	7	9	9	6
ARHGAP23	4	2	1	0	4
ARHGAP24	0	0	0	0	0
ARHGAP25	0	0	0	0	0
ARHGAP26	7	8	6	0	7
ARHGAP27	0	0	0	0	0
ARHGAP28	0	0	0	0	2
ARHGAP29	0	0	0	0	0
ARHGAP30	0	0	0	0	0
ARHGAP31	1	1	1	0	2
ARHGAP32	0	0	0	0	0
ARHGAP33	0	1	0	0	2
ARHGAP35	8	8	15	14	19
ARHGAP36	0	0	0	0	0
